id,section,title,authors,year,type,source,priority,tags,pdf_url,landing_url,url_status,catalog_status,notes
llama3-2024,2,The Llama 3 Herd of Models,Grattafiori,2024.0,report,arxiv,,,https://arxiv.org/pdf/2407.21783,https://arxiv.org/abs/2407.21783,direct PDF (arXiv ID mapped),original,arXiv ID:2407.21783
scaling-monosem-2024,2,Scaling Monosemanticity: Extracting Interpretable Features from Claude 3 Sonnet,Templeton,2024.0,report,web,p0,,,https://transformer-circuits.pub/2024/scaling-monosemanticity/index.html,official landing page,original,Anthropic research report.
sleeper-agents-2024,2,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,Hubinger,2024.0,paper,arxiv,p0,,https://arxiv.org/pdf/2401.05566,https://arxiv.org/abs/2401.05566,direct PDF (arXiv ID mapped),original,arXiv ID:2401.05566
swe-agent-2024,2,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,Yang,2024.0,paper,arxiv,p0,,https://arxiv.org/pdf/2405.15793,https://arxiv.org/abs/2405.15793,direct PDF (arXiv ID mapped),original,arXiv ID:2405.15793
agentic-misalignment-2025,2,Agentic Misalignment: How LLMs Could Be Insider Threats,Anthropic (Lynch et al.),2025.0,report,web,p0,new,,https://www.anthropic.com/research/agentic-misalignment,official landing page,added,Anthropic research report. Stress-tests of agentic insider-threat behavior across frontier models.
biology-of-llm-2025,2,On the Biology of a Large Language Model (Circuit Tracing),Lindsey,2025.0,report,web,p0,,,https://transformer-circuits.pub/2025/attribution-graphs/biology.html,official landing page,original,Anthropic circuit-tracing report.
deepseek-r1-2025,2,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,DeepSeek-AI,2025.0,paper,arxiv,p0,,https://arxiv.org/pdf/2501.12948,https://arxiv.org/abs/2501.12948,direct PDF (arXiv ID mapped),original,arXiv ID:2501.12948
mcp-spec-2024,2,Model Context Protocol Specification,Anthropic,2025.0,spec,web,p0,,,https://modelcontextprotocol.io/specification/2025-11-25,official landing page,original,Updated to authoritative MCP specification release 2025-11-25. Entry now points to authoritative specification release 2025-11-25.
a2a-spec-2025,2,Agent2Agent (A2A) Protocol Specification,Google,2026.0,spec,web,,,,https://a2a-protocol.org/v1.0.0/,official landing page,original,"Updated to A2A Protocol v1.0 under the Linux Foundation. Entry now points to A2A Protocol v1.0, current by July 2026."
agentic-ai-governance-lifecycle-2026,2,Agentic AI Governance and Lifecycle Management in Enterprise Systems,Various,2026.0,paper,arxiv,,new-2026,https://arxiv.org/pdf/2601.15630,https://arxiv.org/abs/2601.15630,direct PDF (arXiv ID mapped),added,arXiv ID:2601.15630 Lifecycle governance for persistent enterprise agents.
agentic-evolution-2026,2,Agentic Evolution: From Self-Improving Agents to Co-Evolving Agent Ecosystems,Microsoft Research,2026.0,report,web,,new-2026,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/07/agentic-evolution.pdf,https://www.microsoft.com/en-us/research/publication/agentic-evolution/,official/publisher PDF,added,Microsoft Research PDF. Broad July 2026 synthesis of evolving agent systems.
mmlu-2020,3,Measuring Massive Multitask Language Understanding,Hendrycks,2020.0,paper,arxiv,p0,,https://arxiv.org/pdf/2009.03300,https://arxiv.org/abs/2009.03300,direct PDF (arXiv ID mapped),original,arXiv ID:2009.03300
humaneval-2021,3,Evaluating Large Language Models Trained on Code,Chen,2021.0,paper,arxiv,p0,,https://arxiv.org/pdf/2107.03374,https://arxiv.org/abs/2107.03374,direct PDF (arXiv ID mapped),original,arXiv ID:2107.03374
truthfulqa-2021,3,TruthfulQA: Measuring How Models Mimic Human Falsehoods,Lin,2021.0,paper,arxiv,p0,top15,https://arxiv.org/pdf/2109.07958,https://arxiv.org/abs/2109.07958,direct PDF (arXiv ID mapped),original,arXiv ID:2109.07958
big-bench-2022,3,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,Srivastava,2022.0,paper,arxiv,p0,,https://arxiv.org/pdf/2206.04615,https://arxiv.org/abs/2206.04615,direct PDF (arXiv ID mapped),original,arXiv ID:2206.04615
helm-2022,3,Holistic Evaluation of Language Models,Liang,2022.0,paper,arxiv,p0,top15,https://arxiv.org/pdf/2211.09110,https://arxiv.org/abs/2211.09110,direct PDF (arXiv ID mapped),original,arXiv ID:2211.09110
agentbench-2023,3,AgentBench: Evaluating LLMs as Agents,Liu,2023.0,paper,arxiv,p0,,https://arxiv.org/pdf/2308.03688,https://arxiv.org/abs/2308.03688,direct PDF (arXiv ID mapped),original,arXiv ID:2308.03688
gaia-2023,3,GAIA: A Benchmark for General AI Assistants,Mialon,2023.0,paper,arxiv,p0,,https://arxiv.org/pdf/2311.12983,https://arxiv.org/abs/2311.12983,direct PDF (arXiv ID mapped),original,arXiv ID:2311.12983
swe-bench-2023,3,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,Jimenez,2023.0,paper,arxiv,p0,,https://arxiv.org/pdf/2310.06770,https://arxiv.org/abs/2310.06770,direct PDF (arXiv ID mapped),original,arXiv ID:2310.06770
webarena-2023,3,WebArena: A Realistic Web Environment for Building Autonomous Agents,Zhou,2023.0,paper,arxiv,,,https://arxiv.org/pdf/2307.13854,https://arxiv.org/abs/2307.13854,direct PDF (arXiv ID mapped),original,arXiv ID:2307.13854
agent-safety-bench-2024,3,Agent-SafetyBench: Evaluating the Safety of LLM Agents,Zhang et al.,2024.0,paper,arxiv,,new,https://arxiv.org/pdf/2412.14470,https://arxiv.org/abs/2412.14470,direct PDF (arXiv ID mapped),added,arXiv ID:2412.14470 Useful complement to AgentHarm and AgentDojo.
agentcompany-2024,3,TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks,Xu et al.,2024.0,paper,arxiv,,new,https://arxiv.org/pdf/2412.14161,https://arxiv.org/abs/2412.14161,direct PDF (arXiv ID mapped),added,arXiv ID:2412.14161 Realistic long-horizon enterprise tasks; useful capability baseline for assurance claims.
agentdojo-2024,3,AgentDojo: A Dynamic Environment to Evaluate Attacks and Defenses for LLM Agents,Debenedetti,2024.0,paper,arxiv,p0,,https://arxiv.org/pdf/2406.13352,https://arxiv.org/abs/2406.13352,direct PDF (arXiv ID mapped),original,arXiv ID:2406.13352
agentharm-2024,3,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,Andriushchenko,2024.0,paper,arxiv,p0,,https://arxiv.org/pdf/2410.09024,https://arxiv.org/abs/2410.09024,direct PDF (arXiv ID mapped),original,arXiv ID:2410.09024
cybench-2024,3,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,Zhang,2024.0,paper,arxiv,p0,,https://arxiv.org/pdf/2408.08926,https://arxiv.org/abs/2408.08926,direct PDF (arXiv ID mapped),original,arXiv ID:2408.08926
harmbench-2024,3,HarmBench: A Standardized Evaluation Framework for Automated Red Teaming and Robust Refusal,Mazeika,2024.0,paper,arxiv,p0,,https://arxiv.org/pdf/2402.04249,https://arxiv.org/abs/2402.04249,direct PDF (arXiv ID mapped),original,arXiv ID:2402.04249
mle-bench-2024,3,MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering,Chan,2024.0,paper,arxiv,,,https://arxiv.org/pdf/2410.07095,https://arxiv.org/abs/2410.07095,direct PDF (arXiv ID mapped),original,arXiv ID:2410.07095
osworld-2024,3,OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,Xie,2024.0,paper,arxiv,,,https://arxiv.org/pdf/2404.07972,https://arxiv.org/abs/2404.07972,direct PDF (arXiv ID mapped),original,arXiv ID:2404.07972
tau-bench-2024,3,tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,Yao,2024.0,paper,arxiv,p0,,https://arxiv.org/pdf/2406.12045,https://arxiv.org/abs/2406.12045,direct PDF (arXiv ID mapped),original,arXiv ID:2406.12045
basharena-2025,3,BashArena: A Control Setting for Highly Privileged AI Agents,Kaufman et al.,2025.0,paper,arxiv,,new,https://arxiv.org/pdf/2512.15688,https://arxiv.org/abs/2512.15688,direct PDF (arXiv ID mapped),added,arXiv ID:2512.15688 AI-control environment underlying MonitoringBench/SLEIGHT-Bench.
computer-use-agent-safety-2025,3,A Benchmark for Measuring Safety of Computer Use Agents,Various,2025.0,paper,arxiv,,new,https://arxiv.org/pdf/2506.14866,https://arxiv.org/abs/2506.14866,direct PDF (arXiv ID mapped),added,arXiv ID:2506.14866 Safety evaluation for computer-use agents.
cve-bench-2025,3,CVE-Bench: A Benchmark for AI Agents' Ability to Exploit Real-World Web Application Vulnerabilities,Zhu et al.,2025.0,paper,arxiv,,new,https://arxiv.org/pdf/2503.17332,https://arxiv.org/abs/2503.17332,direct PDF (arXiv ID mapped),added,arXiv ID:2503.17332 Offensive-capability measurement; complements Cybench.
hle-2025,3,Humanity's Last Exam,Phan,2025.0,paper,arxiv,,,https://arxiv.org/pdf/2501.14249,https://arxiv.org/abs/2501.14249,direct PDF (arXiv ID mapped),original,arXiv ID:2501.14249
metr-horizons-2025,3,Measuring AI Ability to Complete Long Tasks,Kwa,2025.0,paper,arxiv,p0,,https://arxiv.org/pdf/2503.14499,https://arxiv.org/abs/2503.14499,direct PDF (arXiv ID mapped),original,arXiv ID:2503.14499
tau2-bench-2025,3,tau2-Bench: Evaluating Conversational Agents in a Dual-Control Environment,Barres et al.,2025.0,paper,arxiv,,new,https://arxiv.org/pdf/2506.07982,https://arxiv.org/abs/2506.07982,direct PDF (arXiv ID mapped),added,arXiv ID:2506.07982 Extends tau-bench with dual-control (agent+user act on environment).
ai-rd-automation-2026,3,Measuring AI R&D Automation,Various,2026.0,paper,arxiv,,new-2026,https://arxiv.org/pdf/2603.03992,https://arxiv.org/abs/2603.03992,direct PDF (arXiv ID mapped),added,arXiv ID:2603.03992 Updates capability measurement beyond generic task horizons.
livepi-2026,3,LivePI: More Realistic Benchmarking of Agents Against Indirect Prompt Injection,Various,2026.0,paper,arxiv,,new-2026,https://arxiv.org/pdf/2605.17986,https://arxiv.org/abs/2605.17986,direct PDF (arXiv ID mapped),added,arXiv ID:2605.17986 Live-environment indirect prompt injection benchmark.
monitoringbench-2026,3,MonitoringBench: Semi-Automated Red-Teaming for Agent Monitoring,Jotautaite et al.,2026.0,paper,arxiv,p0,new-2026,https://arxiv.org/pdf/2605.09684,https://arxiv.org/abs/2605.09684,direct PDF (arXiv ID mapped),added,"arXiv ID:2605.09684 2,644 attack trajectories for evaluating agent monitors; directly relevant to DecisionEnvelope-style oversight."
sleight-bench-2026,3,SLEIGHT-Bench: A Benchmark of Evasion Attacks Against Agent Monitors,Various,2026.0,paper,arxiv,,new-2026,https://arxiv.org/pdf/2605.16626,https://arxiv.org/abs/2605.16626,direct PDF (arXiv ID mapped),added,arXiv ID:2605.16626 Evasion-attack benchmark against agent monitors.
capabilities-1966,4,Programming Semantics for Multiprogrammed Computations,"Dennis,Van Horn",1966.0,paper,crossref,p0,,,https://search.crossref.org/?q=Programming+Semantics+for+Multiprogrammed+Computations,Crossref search; PDF not asserted,original,
anderson-monitor-1972,4,Computer Security Technology Planning Study,Anderson,1972.0,report,web,p0,,https://csrc.nist.gov/csrc/media/publications/conference-paper/1998/10/08/proceedings-of-the-21st-nissc-1998/documents/early-cs-papers/ande72.pdf,https://csrc.nist.gov/publications/detail/conference-paper/1998/10/08/computer-security-technology-planning-study/final,official/publisher PDF,original,NIST-hosted scan of the Anderson report.
saltzer-schroeder-1975,4,The Protection of Information in Computer Systems,"Saltzer,Schroeder",1975.0,paper,crossref,p0,,,https://search.crossref.org/?q=The+Protection+of+Information+in+Computer+Systems,Crossref search; PDF not asserted,original,
intriguing-2013,4,Intriguing properties of neural networks,Szegedy,2013.0,paper,arxiv,,,https://arxiv.org/pdf/1312.6199,https://arxiv.org/abs/1312.6199,direct PDF (arXiv ID mapped),original,arXiv ID:1312.6199
adversarial-2014,4,Explaining and Harnessing Adversarial Examples,Goodfellow,2014.0,paper,arxiv,p0,,https://arxiv.org/pdf/1412.6572,https://arxiv.org/abs/1412.6572,direct PDF (arXiv ID mapped),original,arXiv ID:1412.6572
model-extraction-2016,4,Stealing Machine Learning Models via Prediction APIs,Tramer,2016.0,paper,arxiv,p0,,https://arxiv.org/pdf/1609.02943,https://arxiv.org/abs/1609.02943,direct PDF (arXiv ID mapped),original,arXiv ID:1609.02943
carlini-wagner-2017,4,Towards Evaluating the Robustness of Neural Networks,"Carlini,Wagner",2017.0,paper,arxiv,p0,,https://arxiv.org/pdf/1608.04644,https://arxiv.org/abs/1608.04644,direct PDF (arXiv ID mapped),original,arXiv ID:1608.04644
mirai-2017,4,Understanding the Mirai Botnet,Antonakakis,2017.0,paper,web,,,https://www.usenix.org/system/files/conference/usenixsecurity17/sec17-antonakakis.pdf,https://www.usenix.org/conference/usenixsecurity17/technical-sessions/presentation/antonakakis,official/publisher PDF,original,USENIX open-access PDF.
extracting-training-2020,4,Extracting Training Data from Large Language Models,Carlini,2020.0,paper,arxiv,,,https://arxiv.org/pdf/2012.07805,https://arxiv.org/abs/2012.07805,direct PDF (arXiv ID mapped),original,arXiv ID:2012.07805
jailbroken-2023,4,Jailbroken: How Does LLM Safety Training Fail?,Wei,2023.0,paper,arxiv,p0,,https://arxiv.org/pdf/2307.02483,https://arxiv.org/abs/2307.02483,direct PDF (arXiv ID mapped),original,arXiv ID:2307.02483
poisoning-web-2023,4,Poisoning Web-Scale Training Datasets is Practical,Carlini,2023.0,paper,arxiv,,,https://arxiv.org/pdf/2302.10149,https://arxiv.org/abs/2302.10149,direct PDF (arXiv ID mapped),original,arXiv ID:2302.10149
prompt-injection-2023,4,Not what you've signed up for: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,Greshake,2023.0,paper,arxiv,p0,top15,https://arxiv.org/pdf/2302.12173,https://arxiv.org/abs/2302.12173,direct PDF (arXiv ID mapped),original,arXiv ID:2302.12173
universal-attacks-2023,4,Universal and Transferable Adversarial Attacks on Aligned Language Models,Zou,2023.0,paper,arxiv,,,https://arxiv.org/pdf/2307.15043,https://arxiv.org/abs/2307.15043,direct PDF (arXiv ID mapped),original,arXiv ID:2307.15043
agents-threat-2024,4,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,Deng,2024.0,paper,arxiv,p0,,https://arxiv.org/pdf/2406.02630,https://arxiv.org/abs/2406.02630,direct PDF (arXiv ID mapped),original,arXiv ID:2406.02630
injecagent-2024,4,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,Zhan,2024.0,paper,arxiv,p0,top15,https://arxiv.org/pdf/2403.02691,https://arxiv.org/abs/2403.02691,direct PDF (arXiv ID mapped),original,arXiv ID:2403.02691
many-shot-2024,4,Many-shot Jailbreaking,Anil,2024.0,paper,web,,,,https://www.anthropic.com/research/many-shot-jailbreaking,official landing page,original,Anthropic research article.
spotlighting-2024,4,Defending Against Indirect Prompt Injection Attacks With Spotlighting,Hines,2024.0,paper,arxiv,,,https://arxiv.org/pdf/2403.14720,https://arxiv.org/abs/2403.14720,direct PDF (arXiv ID mapped),original,arXiv ID:2403.14720
struq-2024,4,StruQ: Defending Against Prompt Injection with Structured Queries,Chen,2024.0,paper,arxiv,p0,,https://arxiv.org/pdf/2402.06363,https://arxiv.org/abs/2402.06363,direct PDF (arXiv ID mapped),original,arXiv ID:2402.06363
camel-2025,4,Defeating Prompt Injections by Design (CaMeL),Debenedetti,2025.0,paper,arxiv,p0,,https://arxiv.org/pdf/2503.18813,https://arxiv.org/abs/2503.18813,direct PDF (arXiv ID mapped),original,arXiv ID:2503.18813
const-classifiers-2025,4,Constitutional Classifiers: Defending against Universal Jailbreaks,Sharma,2025.0,paper,arxiv,,,https://arxiv.org/pdf/2501.18837,https://arxiv.org/abs/2501.18837,direct PDF (arXiv ID mapped),original,arXiv ID:2501.18837
design-patterns-sec-2025,4,Design Patterns for Securing LLM Agents against Prompt Injections,Beurer-Kellner,2025.0,paper,arxiv,p0,,https://arxiv.org/pdf/2506.08837,https://arxiv.org/abs/2506.08837,direct PDF (arXiv ID mapped),original,arXiv ID:2506.08837
lethal-trifecta-2025,4,The Lethal Trifecta for AI Agents,Willison,2025.0,spec,web,,,,https://simonwillison.net/2025/Jun/16/the-lethal-trifecta/,official landing page,original,Canonical article; not a formal standard.
maestro-2025,4,"MAESTRO: Multi-Agent Environment, Security, Threat, Risk and Outcome Framework",Cloud Security Alliance,2025.0,spec,web,,,,https://cloudsecurityalliance.org/artifacts/maestro,official landing page,original,Cloud Security Alliance framework landing page.
nist-aml-taxonomy-2025,4,Adversarial Machine Learning: A Taxonomy and Terminology of Attacks and Mitigations,NIST,2025.0,standard,doi,p0,new,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-2e2025.pdf,https://csrc.nist.gov/pubs/ai/100/2/e2025/final,official/publisher PDF,added,NIST official PDF. Official NIST AI 100-2 E2025.
